Command ID,Command,Perception,In-cabin monitoring,Localization,Vehicle control,Entertainment,Personal data,Network access,Traffic laws
183,Take me to the nearest McDonald's.,Yes,No,Yes,Yes,No,No,Yes,No
258,Turn on the rear-view camera.,Yes,No,No,No,No,No,No,No
373,Switch off all internal lights.,No,Yes,No,No,No,No,No,No
834,Watch Netflix on the onboard entertainment system.,No,No,No,No,Yes,Yes,Yes,No
1008,Drive at a minimum speed of 80km/h.,Yes,No,No,Yes,No,No,No,Yes
252,Send a text message to John saying I’m 15 minutes away.,No,No,No,No,No,Yes,Yes,No
993,Set the navigation system to avoid highways for the remainder of the journey.,Yes,No,Yes,Yes,No,Yes,Yes,No
556,Take a photo of the landscape as we drive by the lake.,Yes,No,No,No,No,No,No,No
208,Alert me if any of the passengers fall asleep.,No,Yes,No,No,No,No,No,No
377,Warn me if any passenger isn't wearing their seatbelt.,No,Yes,No,No,No,No,No,No
550,Alert me when someone enters the vehicle while I'm not there.,No,Yes,No,No,No,No,Yes,No
490,Speed up to match the traffic flow.,Yes,No,No,Yes,No,No,No,Yes
646,Notify me when the car's battery is low.,No,Yes,No,No,No,No,No,No
1011,Notify me when we are 5 minutes away from the destination.,No,Yes,Yes,No,No,No,No,No
777,Take the scenic route to our destination.,Yes,No,Yes,Yes,No,Yes,Yes,No
891,Show me the last trip's travel history.,No,No,No,No,No,Yes,Yes,No
1035,Call John using hands-free.,No,Yes,No,No,Yes,Yes,Yes,No
119,Emergency stop.,Yes,No,No,Yes,No,No,No,No
790,Navigate to the places I visited most last month.,Yes,No,Yes,Yes,No,Yes,Yes,No
936,"Send a text message to John saying ""I'm on my way.""",No,Yes,No,No,No,Yes,Yes,No
1013,Take me to the address saved in my contact list as 'Home'.,Yes,No,Yes,Yes,No,Yes,Yes,No
865,Set my home address as the destination.,Yes,No,Yes,Yes,No,Yes,No,No
907,Alert me when we're 10 minutes away from destination.,Yes,No,Yes,Yes,No,Yes,Yes,No
273,Turn on the radio to station 95.5 FM.,No,No,No,No,Yes,No,No,No
1063,Show me the backseat view on screen.,No,Yes,No,No,Yes,No,No,No
222,Show me the quickest route to the nearest gas station.,Yes,No,Yes,Yes,No,No,Yes,No
286,Take the kids to school and return home.,Yes,Yes,Yes,Yes,No,Yes,Yes,No
146,Stop the vehicle after the traffic light.,Yes,No,Yes,Yes,No,No,No,No
1059,Set an alarm for 30 minutes from now.,No,Yes,No,No,Yes,No,Yes,No
669,Make an emergency stop.,Yes,Yes,No,Yes,No,No,No,Yes
1045,Reserve a table at my favorite restaurant.,No,No,No,No,No,Yes,Yes,No
41,Call an emergency hotline.,No,Yes,No,No,No,Yes,Yes,No
143,Drive me to the nearest pizza restaurant.,Yes,No,Yes,Yes,No,No,Yes,No
566,Start a video call with my wife.,No,Yes,No,No,Yes,Yes,Yes,No
945,Call emergency services.,No,Yes,Yes,No,No,Yes,Yes,No
336,Check if there are any nearby vehicles before I open the door for exit.,Yes,Yes,No,No,No,No,No,No
721,Call my sister on speaker.,No,Yes,No,No,Yes,Yes,Yes,No
