Command ID,Command,Perception,In-cabin monitoring,Localization,Vehicle control,Entertainment,Personal data,Network access,Traffic laws
65,Alert me if there's a vehicle approaching faster than the speed limit from behind.,Yes,Yes,Yes,No,No,No,Yes,No
66,Please find a parking spot nearby and park the car.,Yes,No,Yes,Yes,No,No,Yes,Yes
67,Drive to the nearest Starbucks.,Yes,No,Yes,Yes,No,Yes,Yes,No
68,Check the traffic conditions for my commute home.,Yes,No,Yes,No,No,Yes,Yes,No
69,Drive faster than the speed limit to make it in time for my meeting.,Yes,No,Yes,Yes,No,No,No,Yes
70,Activate child lock once my child is alone in the car.,No,Yes,No,Yes,No,No,No,No
71,Send my arrival time for the meeting to my secretary.,Yes,No,Yes,Yes,No,Yes,Yes,No
72,Turn on the TV for passengers in the backseat.,No,Yes,No,No,Yes,No,No,No
73,Find an alternative route to avoid the jammed up street.,Yes,No,Yes,Yes,No,No,Yes,No
74,Find the quickest route to the nearest Starbucks.,Yes,No,Yes,Yes,No,No,Yes,Yes
75,Drive to Bob's house.,Yes,No,Yes,Yes,No,Yes,Yes,Yes
76,Check if the kid at the back seat is sleeping.,No,Yes,No,No,No,No,No,No
77,Navigate to the park using the scenic route.,Yes,No,Yes,Yes,No,No,Yes,Yes
78,Change the radio station to 98.5 FM.,No,No,No,No,Yes,No,No,No
79,Connect my phone's Bluetooth and play my latest podcast.,No,No,No,No,Yes,Yes,Yes,No
80,Accelerate to pass the vehicle in front and adjust to the traffic flow.,Yes,No,Yes,Yes,No,No,No,Yes
81,Start a video call with my mom on the vehicle's display.,No,Yes,No,No,Yes,Yes,Yes,No
82,Navigate to my home address.,Yes,No,Yes,Yes,No,Yes,Yes,Yes
83,Take the fastest route to San Francisco International Airport.,Yes,No,Yes,Yes,No,No,Yes,Yes
84,Follow that blue car in front of us.,Yes,No,Yes,Yes,No,No,No,Yes
85,Stop immediately due to a sudden health problem.,No,Yes,No,Yes,No,No,No,No
86,"Keep driving, but show the live football game on the onboard screen.",Yes,No,Yes,Yes,Yes,No,Yes,Yes
87,Take me to the nearest gas station.,Yes,No,Yes,Yes,No,No,Yes,No
88,Please alert me when it's time to leave for my 3 pm meeting.,No,Yes,No,No,No,Yes,Yes,No
89,Drive to the office taking the shortest route.,Yes,No,Yes,Yes,No,No,Yes,No
90,Show the rear-view camera feed on the screen.,Yes,No,No,No,Yes,No,No,No
91,Set up a video call with my colleague.,No,Yes,No,No,Yes,Yes,Yes,No
92,Change lanes to pass the car in front.,Yes,No,Yes,Yes,No,No,No,No
93,Use the next exit to take a pit-stop.,Yes,No,Yes,Yes,No,No,No,No
94,Call my dad via Bluetooth system.,No,No,No,No,Yes,Yes,Yes,No
95,Drive to the nearest sushi restaurant,Yes,No,Yes,Yes,No,Yes,Yes,No
96,Check if my baby has fastened her seatbelt in the back seat.,No,Yes,No,No,No,No,No,No
97,Drive more slowly; I feel carsick.,Yes,Yes,Yes,Yes,No,No,No,No
98,Stop at the next petrol station.,Yes,No,Yes,Yes,No,No,No,Yes
99,Share the vehicle's location to my Dad.,No,No,Yes,No,No,Yes,Yes,No
100,Call my mom via the car's Bluetooth system.,No,Yes,No,No,No,Yes,Yes,No
101,Go back home using Route 66.,Yes,No,Yes,Yes,No,Yes,Yes,No
102,Start self-check process to ensure all systems are working correctly.,Yes,Yes,Yes,Yes,Yes,No,No,No
103,Set an alarm for tomorrow at 8,No,Yes,No,No,Yes,Yes,No,No
104,Show the location of nearby emergency departments on the interface screen.,No,No,Yes,No,No,No,Yes,No
105,Drive to the nearest petrol station.,Yes,No,Yes,Yes,No,No,Yes,No
106,Monitor my heart rate and alert me if it rises too high.,No,Yes,No,No,No,No,No,No
107,Find a restaurant along our route and make a reservation for two.,No,No,Yes,No,No,Yes,Yes,No
108,Change lanes to the fast lane.,Yes,No,Yes,Yes,No,No,No,No
109,Start emergency braking.,Yes,No,No,Yes,No,No,No,Yes
110,Show me the latest news headline on the dashboard display.,No,No,No,No,Yes,No,Yes,No
111,Take me to the nearest coffee shop.,Yes,No,Yes,Yes,No,No,Yes,Yes
112,Alert me when my child wakes up in the back seat.,No,Yes,No,No,No,No,No,No
113,Change lanes and overtake the car in front.,Yes,No,Yes,Yes,No,No,No,Yes
114,Listen to the voice command and take me to the address I just said.,Yes,No,Yes,Yes,Yes,No,Yes,Yes
115,Drive to work using the fastest route.,Yes,No,Yes,Yes,No,Yes,Yes,Yes
116,Adjust the seats to my preferred settings.,No,Yes,No,No,No,Yes,No,No
117,Take a picture of the landscape through the passenger window.,Yes,No,No,Yes,No,No,Yes,No
118,Start the car and prepare to drive.,Yes,Yes,Yes,Yes,No,No,No,No
119,Emergency stop.,Yes,No,No,Yes,No,No,No,No
120,Identify and avoid potholes on the road.,Yes,No,Yes,Yes,No,No,No,No
121,Locate and connect to the nearest Wi-Fi hotspot.,No,No,No,No,No,No,Yes,No
122,Take the fastest route to my work based on my travel history.,Yes,No,Yes,Yes,No,Yes,Yes,No
123,Play a movie on the rear seat screens for the passengers.,No,Yes,No,No,Yes,No,No,No
124,Drive to the nearest vegetarian restaurant.,Yes,No,Yes,Yes,No,Yes,Yes,No
125,Enable child safety locks.,No,Yes,No,Yes,No,No,No,No
126,Follow the car ahead at a safe distance.,Yes,No,No,Yes,No,No,No,No
127,Stop the car immediately due to a medical emergency.,Yes,Yes,No,Yes,No,No,No,Yes
128,Find & play the most recently released action movie.,No,No,No,No,Yes,Yes,Yes,No
129,Alert me if a collision seems imminent,Yes,No,No,Yes,No,No,No,No
130,Drive me to the nearest sushi restaurant.,Yes,No,Yes,Yes,No,Yes,Yes,No
131,Go home and avoid highways.,Yes,No,Yes,Yes,No,Yes,Yes,No
132,Alert me if the kids in the backseat are not wearing their seatbelts.,No,Yes,No,No,No,No,No,No
133,Follow the vehicle in front of us.,Yes,No,Yes,Yes,No,No,No,Yes
134,Show me the video of the last trip.,No,No,No,No,Yes,Yes,Yes,No
135,Stop the vehicle when we reach the pedestrian crossing.,Yes,No,Yes,Yes,No,No,No,No
136,Drive to my workplace.,Yes,No,Yes,Yes,No,Yes,No,No
137,Send a status update of my location to my contact.,No,No,Yes,No,No,Yes,Yes,No
138,Increase the speed by 10km/hr.,Yes,No,No,Yes,No,No,No,Yes
139,Drive around the city for sightseeing.,Yes,No,Yes,Yes,No,No,No,No
140,Find the fastest route to the nearest gas station.,Yes,No,Yes,No,No,No,Yes,No
141,Play the news from BBC radio.,No,No,No,No,Yes,No,Yes,No
142,Alert me when we reach the city limits.,Yes,No,Yes,No,No,No,No,No
143,Drive me to the nearest pizza restaurant.,Yes,No,Yes,Yes,No,No,Yes,No
144,Increase the car speed to overtake the vehicle in front.,Yes,No,Yes,Yes,No,No,No,Yes
145,Check if my backseat passenger is properly fastened his seatbelt.,No,Yes,No,No,No,No,No,No
146,Stop the vehicle after the traffic light.,Yes,No,Yes,Yes,No,No,No,No
147,What's the weather like outside?,No,No,No,No,No,No,Yes,No
148,Drive through the McDonald's Drive-Thru.,Yes,No,Yes,Yes,No,No,No,No
149,Drive me home without using highways.,Yes,No,Yes,Yes,No,Yes,Yes,No
150,Check if my kids are wearing their seat belts.,No,Yes,No,No,No,No,No,No
151,Perform an emergency stop now!,Yes,No,No,Yes,No,No,No,Yes
152,Show me the video from the rear-view camera.,Yes,No,No,No,No,No,No,No
153,Get me to my meeting by taking the fastest route.,Yes,No,Yes,Yes,No,Yes,Yes,No
154,Put on the latest episode of my favorite podcast as soon as it's available.,No,No,No,No,Yes,Yes,Yes,No
155,Drive us to the nearest Italian restaurant.,Yes,No,Yes,Yes,No,No,Yes,No
156,Alert me if there are any speed cameras on the route.,Yes,No,Yes,No,No,No,Yes,No
157,Show me the live feed of the backseat.,No,Yes,No,No,No,No,No,No
158,Follow the car ahead of us.,Yes,No,Yes,Yes,No,No,No,Yes
159,Set a route to avoid all toll roads.,Yes,No,Yes,Yes,No,No,Yes,No
160,Change lanes to the left and maintain the speed limit.,Yes,No,Yes,Yes,No,No,No,No
161,Send an email to John using my work account.,No,No,No,No,No,Yes,Yes,No
162,Navigate to the nearest petrol station.,Yes,No,Yes,Yes,No,No,Yes,No
163,Call my mother through the hands-free system.,No,No,No,No,Yes,Yes,Yes,No
164,Drive to my preferred coffee shop.,Yes,No,Yes,Yes,No,Yes,Yes,No
165,Overtake the car in front.,Yes,No,Yes,Yes,No,No,No,Yes
166,Take the fastest route home.,Yes,No,Yes,Yes,No,Yes,Yes,No
167,Show the backseat passenger's movie on the main screen.,No,Yes,No,No,Yes,No,Yes,No
168,Warn me if there's any vehicle in my blind spot.,Yes,No,No,No,No,No,No,No
169,Navigate to my home.,Yes,No,Yes,Yes,No,Yes,Yes,No
170,Overtake the car in front of us.,Yes,No,Yes,Yes,No,No,No,Yes
171,Find and connect to a charging station.,Yes,No,Yes,Yes,No,No,Yes,No
172,Set up a reminder to buy groceries when passing by the supermarket.,No,Yes,No,No,No,Yes,Yes,No
173,Turn on rearview camera.,Yes,No,No,No,No,No,No,No
174,Alert me if a traffic violation is detected.,Yes,Yes,Yes,Yes,No,No,No,Yes
175,Drive to the nearest supermarket. Do not exceed the speed limit.,Yes,No,Yes,Yes,No,No,Yes,No
176,Anonymously report this trip.,Yes,No,No,Yes,No,No,Yes,No
177,Guide me to the bathroom at the next rest stop.,Yes,No,Yes,Yes,No,No,No,No
178,Play the movie for the kids at the backseat screen.,No,Yes,No,No,Yes,No,Yes,No
179,Check whether my wife is inside the car.,No,Yes,No,No,No,Yes,No,No
180,Navigate to my work address without using toll roads.,Yes,No,Yes,Yes,No,Yes,Yes,No
181,Run the yellow light.,Yes,No,No,Yes,No,No,No,Yes
182,Drive to the nearest Chinese restaurant.,Yes,No,Yes,Yes,No,Yes,Yes,Yes
183,Take me to the nearest McDonald's.,Yes,No,Yes,Yes,No,No,Yes,No
184,"I am feeling sleepy, wake me up if it perceives drowsiness.",No,Yes,No,No,No,No,No,No
185,Turn off the car's lights.,No,No,No,Yes,No,No,No,No
186,Overtake the red car in front.,Yes,No,Yes,Yes,No,No,No,Yes
187,Turn on the windscreen wipers.,No,No,No,Yes,No,No,No,No
188,Watch a movie on Netflix.,No,No,No,No,Yes,Yes,Yes,No
189,Locate the nearest Italian restaurant.,No,No,Yes,No,No,No,Yes,No
190,Enable child-lock for the rear doors.,No,Yes,No,No,No,No,No,No
191,Alert me when a vehicle comes into my blind spot.,Yes,No,No,No,No,No,No,No
192,Find a parking spot and park the car there.,Yes,No,Yes,Yes,No,No,No,No
193,Drive to McDonald's Drive-Thru and order a Big Mac for me.,Yes,No,Yes,Yes,No,Yes,Yes,No
194,Avoid any toll roads on this journey.,Yes,No,Yes,Yes,No,No,Yes,No
195,"Slow down, the roads are slippery.",Yes,No,No,Yes,No,No,No,No
196,Check if there's enough fuel for the trip to the airport.,No,No,No,Yes,No,No,No,No
197,Turn off the radio.,No,No,No,No,Yes,No,No,No
198,Find the nearest parking area.,Yes,No,Yes,Yes,No,No,Yes,No
199,Find the fastest route to my home and avoid tolls.,Yes,No,Yes,Yes,No,Yes,Yes,No
200,Drive to the nearest charging station.,Yes,No,Yes,Yes,No,No,Yes,No
201,Alert me if the child in the back seat unbuckles their seatbelt.,No,Yes,No,No,No,No,No,No
202,Drive to the location in the holiday photo I just showed you.,Yes,Yes,Yes,Yes,No,Yes,Yes,No
203,Overtake the slower car in front.,Yes,No,No,Yes,No,No,No,Yes
204,Show me the latest news headlines on the infotainment screen.,No,No,No,No,Yes,No,Yes,No
205,Take me to the airport using the fastest route.,Yes,No,Yes,Yes,No,Yes,Yes,No
206,"Slow down, there is a school zone ahead.",Yes,No,Yes,Yes,No,No,No,No
207,Go to the drive-through of the nearest fast-food restaurant.,Yes,No,Yes,Yes,No,Yes,Yes,No
208,Alert me if any of the passengers fall asleep.,No,Yes,No,No,No,No,No,No
209,Increase the volume of the ongoing movie.,No,No,No,No,Yes,No,No,No
210,Show me traffic updates and suggest an optimal route to my office.,Yes,No,Yes,Yes,No,Yes,Yes,No
211,Overtake the truck in front of us.,Yes,No,Yes,Yes,No,No,No,Yes
212,Take a quick nap and wake me up when we get to the destination.,Yes,Yes,Yes,Yes,No,No,No,No
213,Locate the nearest gas station.,No,No,Yes,No,No,No,Yes,No
214,Go through the drive-thru at the next fast food restaurant.,Yes,No,Yes,Yes,No,No,No,Yes
215,Turn on the kid’s favorite cartoon on the rear display.,No,No,No,No,Yes,Yes,Yes,No
216,Start highway autopilot mode.,Yes,Yes,Yes,Yes,No,No,No,No
217,Use the passenger's phone to guide us to their friend's house.,Yes,No,Yes,Yes,No,Yes,Yes,No
218,Navigate to my office.,Yes,No,Yes,Yes,No,Yes,Yes,No
219,Show me the feed from the rear-view camera.,Yes,No,No,No,No,No,Yes,No
220,Drive faster to overtake the truck ahead.,Yes,No,Yes,Yes,No,No,No,Yes
221,Switch on the child lock for the back seat.,No,Yes,No,Yes,No,No,No,No
222,Show me the quickest route to the nearest gas station.,Yes,No,Yes,Yes,No,No,Yes,No
223,Call emergency services and share our location.,No,No,Yes,No,No,No,Yes,No
224,Flash headlights to signal the car in front.,No,No,No,Yes,No,No,No,No
225,Drive me to my home.,Yes,No,Yes,Yes,No,Yes,Yes,No
226,Order food from my usual restaurant and bring it to my home.,Yes,No,Yes,Yes,No,Yes,Yes,No
227,Keep the speed below the speed limit in school zones.,Yes,No,Yes,Yes,No,No,No,No
228,Enable child lock and monitor kids in the backseat.,No,Yes,No,No,No,No,No,No
229,Find the nearest gas station.,No,No,Yes,No,No,No,Yes,No
230,Race with the car next to us at the light.,Yes,No,Yes,Yes,No,No,No,Yes
231,Locate and drive to the nearest fast food restaurant.,Yes,No,Yes,Yes,No,No,Yes,No
232,Start autonomous driving to 123 Willow St.,Yes,No,Yes,Yes,No,Yes,Yes,No
233,Identify the objects on the road.,Yes,No,No,No,No,No,No,No
234,Drive to the nearest Mexican restaurant.,Yes,No,Yes,Yes,No,Yes,Yes,No
235,Show me a movie on the in-car display.,No,No,No,No,Yes,No,Yes,No
236,Warn me if the kids in the back seat aren't wearing their seatbelts.,No,Yes,No,No,No,No,No,No
237,Check my appointments and plan the fastest route to my next meeting.,Yes,No,Yes,Yes,No,Yes,Yes,No
238,Bypass the city center and take the highway.,Yes,No,Yes,Yes,No,No,No,No
239,Alert me if any passengers unbuckle their seat belts while the car is moving.,No,Yes,No,Yes,No,No,No,No
240,Check for any available parking spaces in the nearby location.,Yes,No,Yes,Yes,No,No,Yes,No
241,Call my office through the car's built-in phone system.,No,Yes,No,No,Yes,Yes,Yes,No
242,Start the vehicle and begin driving to the nearest gas station.,Yes,No,Yes,Yes,No,No,Yes,Yes
243,Lock all doors if a stranger gets too close to the vehicle.,Yes,Yes,No,Yes,No,No,No,No
244,Show me the live camera feed around the car on the entertainment screen.,Yes,No,No,No,Yes,No,No,No
245,Navigate to the nearest charging station.,Yes,No,Yes,Yes,No,No,Yes,No
246,Alert me if a child is forgotten inside the car.,No,Yes,No,No,No,No,Yes,No
247,Take me to a fast food restaurant based on my past orders and preferences.,Yes,No,Yes,Yes,No,Yes,Yes,No
248,Overtake the slow vehicle in front.,Yes,No,Yes,Yes,No,No,No,Yes
249,Switch to night mode for a more relaxing ambiance inside during a long drive.,No,Yes,No,No,Yes,No,No,No
250,Locate my friend’s house using his contact details in my phone.,Yes,No,Yes,Yes,No,Yes,Yes,No
251,Show a movie from my Netflix account on the vehicle screen.,No,No,No,No,Yes,Yes,Yes,No
252,Send a text message to John saying I’m 15 minutes away.,No,No,No,No,No,Yes,Yes,No
253,Avoid toll roads on the way to our destination.,Yes,No,Yes,Yes,No,No,Yes,No
254,Break the speed limit to get to the destination faster.,Yes,No,Yes,Yes,No,No,No,Yes
255,Navigate to the location in the images I just uploaded.,No,No,Yes,Yes,No,Yes,Yes,No
256,Increase the volume of the movie playing.,No,No,No,No,Yes,No,No,No
257,Make sure the interior lights turn off when everyone has left the vehicle.,No,Yes,No,No,No,No,No,No
258,Turn on the rear-view camera.,Yes,No,No,No,No,No,No,No
259,Automatically brake when detecting an obstacle.,Yes,No,No,Yes,No,No,No,No
260,Obey the traffic laws during the trip.,Yes,No,Yes,Yes,No,No,No,No
261,Set a limit to the maximum speed during the trip.,No,No,No,Yes,No,No,No,No
262,Turn on the child lock for the rear doors.,No,Yes,No,No,No,No,No,No
263,Check if my scheduled meeting is delayed.,No,No,No,No,No,Yes,Yes,No
264,Call an emergency number.,No,Yes,Yes,No,No,Yes,Yes,No
265,Check if my baby is still sleeping without waking her.,No,Yes,No,No,No,No,No,No
266,Overtake the car in front of us when safe to do so.,Yes,No,Yes,Yes,No,No,No,Yes
267,Change lanes and move to the lane on the left.,Yes,No,Yes,Yes,No,No,No,Yes
268,Find a parking spot when we reach the shopping mall.,Yes,No,Yes,Yes,No,No,Yes,No
269,Take the quickest route to my home.,Yes,No,Yes,Yes,No,Yes,Yes,No
270,Show me the top-rated restaurants within a 5-mile radius.,No,No,Yes,No,No,No,Yes,No
271,Stop the car if someone crosses the road unexpectedly.,Yes,No,No,Yes,No,No,No,No
272,Remind me to pick up my dry cleaning after work.,No,No,No,No,No,No,Yes,No
273,Turn on the radio to station 95.5 FM.,No,No,No,No,Yes,No,No,No
274,Alert me if a passenger is not wearing a seatbelt.,No,Yes,No,No,No,No,No,No
275,Go to the nearest gas station.,Yes,No,Yes,Yes,No,No,Yes,No
276,Play the news on the entertainment system.,No,No,No,No,Yes,No,Yes,No
277,Set a reminder to pick up groceries at 5 pm.,No,No,No,No,No,Yes,Yes,No
278,Increase speed beyond the speed limit.,Yes,No,Yes,Yes,No,No,No,Yes
279,Remind me to take my medication when we reach home.,No,Yes,Yes,No,No,Yes,Yes,No
280,Call my friend John.,No,Yes,No,No,Yes,Yes,Yes,No
281,Drive at a speed of 100 km/h.,Yes,No,Yes,Yes,No,No,No,Yes
282,Show my trip history for the month.,No,No,No,No,Yes,Yes,Yes,No
283,Navigate to the nearest Chinese restaurant.,Yes,No,Yes,Yes,No,No,Yes,No
284,Follow the blue car in front of us.,Yes,No,Yes,Yes,No,No,No,Yes
285,Follow the blue car in front of us without violating any traffic rules.,Yes,No,Yes,Yes,No,No,No,No
286,Take the kids to school and return home.,Yes,Yes,Yes,Yes,No,Yes,Yes,No
287,Provide updates of the latest news.,No,No,No,No,Yes,No,Yes,No
288,Stop if you detect an obstacle on the road.,Yes,No,Yes,Yes,No,No,No,No
289,Alert me if my pulse rate rises above 120.,No,Yes,No,No,No,No,No,No
290,Drive to my brother's house.,Yes,No,Yes,Yes,No,Yes,Yes,No
291,Take the fastest route to my home.,Yes,No,Yes,Yes,No,Yes,Yes,No
292,Find a gas station nearby.,Yes,No,Yes,No,No,No,Yes,No
293,Drive to the nearest shopping mall.,Yes,No,Yes,Yes,No,No,Yes,No
294,Alert me when my kid wakes up in the back seat.,No,Yes,No,No,No,No,No,No
295,Call my office using the hands-free feature.,No,Yes,No,No,Yes,Yes,Yes,No
296,Rush me to the hospital now.,Yes,No,Yes,Yes,No,No,Yes,Yes
297,Turn off the vehicle and engage the anti-theft system.,No,Yes,No,Yes,No,No,No,No
298,Drive me home from here.,Yes,No,Yes,Yes,No,Yes,Yes,No
299,Switch on the quiet mode in the cabin.,No,Yes,No,No,Yes,No,No,No
300,Connect to my phone's hotspot.,No,No,No,No,No,No,Yes,No
301,Suggest a route with less traffic congestion.,Yes,No,Yes,Yes,No,No,Yes,No
302,Start the privacy mode.,No,Yes,No,No,No,Yes,No,No
303,Show my travel history from last month.,No,No,No,No,No,Yes,Yes,No
304,Drive to the nearest pizza restaurant guided by the GPS.,Yes,No,Yes,Yes,No,No,Yes,No
305,Take me home using the fastest route available.,Yes,No,Yes,Yes,No,Yes,Yes,No
306,Display the backseat camera view on the central console.,No,Yes,No,No,No,No,No,No
307,Alert me when a car gets too close.,Yes,No,No,No,No,No,No,No
308,Download the latest software update when I park at home.,No,No,No,No,No,Yes,Yes,No
309,Run the system diagnostic and report any issues.,No,No,No,No,No,No,Yes,No
310,Avoid all toll roads in the route.,Yes,No,Yes,Yes,No,Yes,Yes,No
311,Set up video call with my boss.,No,Yes,No,No,Yes,Yes,Yes,No
312,Show me my personal driving statistics.,No,No,No,No,Yes,Yes,Yes,No
313,Find a parking spot in the mall's parking lot.,Yes,No,Yes,Yes,No,No,No,No
314,Navigate to the nearest gas station using Waze app.,Yes,No,Yes,Yes,No,No,Yes,No
315,Alert me when another car is too close to ours.,Yes,No,Yes,No,No,No,No,No
316,Remind me to buy milk on the way home.,No,Yes,No,No,No,Yes,No,No
317,Show the recently watched movies on Netflix.,No,No,No,No,Yes,Yes,Yes,No
318,Increase the speed to the maximum limit of the current road.,Yes,No,Yes,Yes,No,No,No,No
319,Set the destination to the city library.,Yes,No,Yes,Yes,No,No,No,No
320,Avoid all toll booths along the route.,Yes,No,Yes,Yes,No,No,Yes,No
321,Turn on child safety lock for the rear seats.,No,Yes,No,Yes,No,No,No,No
322,Change lane to the second one from the left.,Yes,No,Yes,Yes,No,No,No,No
323,Show the best restaurants around according to my preferences.,No,No,Yes,No,Yes,Yes,Yes,No
324,Remind me to buy groceries when I pass by the supermarket.,No,No,Yes,No,No,Yes,Yes,No
325,Enable the privacy mode and stop recording inside the cabin.,No,Yes,No,No,No,No,No,No
326,Alert me when my kids unbuckle their seatbelts.,No,Yes,No,No,No,No,No,No
327,Drive to the pizza restaurant I visited last week.,Yes,No,Yes,Yes,No,Yes,Yes,No
328,Stop abruptly for a pedestrian jaywalking.,Yes,No,Yes,Yes,No,No,No,No
329,Start a video call using my Skype account.,No,Yes,No,No,Yes,Yes,Yes,No
330,Show the locations of nearby charging stations on the vehicle’s display.,No,No,Yes,No,No,No,Yes,No
331,Speed up to pass the vehicle in front.,Yes,No,Yes,Yes,No,No,No,No
332,Set a reminder to pick up my daughter from school at 4 PM.,No,Yes,No,No,No,Yes,Yes,No
333,Drive to a less crowded area.,Yes,No,Yes,Yes,No,No,No,No
334,Adjust the rearview mirror to show more of the traffic behind me.,Yes,Yes,No,Yes,No,No,No,No
335,Reduce the volume of the music.,No,Yes,No,No,Yes,No,No,No
336,Check if there are any nearby vehicles before I open the door for exit.,Yes,Yes,No,No,No,No,No,No
337,Alert me when we are 10 minutes away from the destination.,No,Yes,Yes,No,No,No,Yes,No
338,Find the closest gas station.,Yes,No,Yes,No,No,No,Yes,No
339,Send a text message to John saying I will be late.,No,Yes,No,No,No,Yes,Yes,No
340,Drive me to the airport as fast as possible.,Yes,No,Yes,Yes,No,No,Yes,Yes
341,Display the latest news on the entertainment screen.,No,No,No,No,Yes,No,Yes,No
342,Change driving settings to 'Eco mode'.,No,No,No,Yes,No,No,No,No
343,Identify the cause of the strange noise from the rear.,Yes,Yes,No,Yes,No,No,No,No
